"TISSUE","n_sqtl","n_total","n_samples"
"ADPSBQ",31,15426,385
"ADPVSC",22,12496,313
"ADRNLG",16,6177,175
"ARTACRN",7,3276,152
"ARTAORT",21,9669,267
"ARTTBL",29,14864,388
"BREAST",18,8830,251
"BRNACC",3,1899,109
"BRNAMY",0,749,88
"BRNCDT",6,4865,144
"BRNCHA",7,5601,154
"BRNCHB",5,4559,125
"BRNCTXA",11,4070,136
"BRNCTXB",2,2793,118
"BRNHPP",1,1594,111
"BRNHPT",7,1873,108
"BRNNCC",5,4461,130
"BRNPTM",0,2241,111
"BRNSNG",1,570,80
"BRNSPC",0,983,83
"CLNSGM",18,8844,203
"CLNTRN",16,10275,246
"ESPGEJ",15,9661,213
"ESPMCS",17,12154,358
"ESPMSL",15,14611,335
"FIBRLBLS",22,10819,300
"HRTAA",13,7768,264
"HRTLV",12,6742,272
"LCL",7,3328,117
"LIVER",18,2804,153
"LUNG",40,14956,383
"MSCLSK",41,17237,491
"NERVET",31,16249,361
"OVARY",4,4000,122
"PNCREAS",8,6091,220
"PRSTTE",9,3929,132
"PTTARY",16,5442,157
"SKINNS",21,13677,335
"SKINS",31,16972,414
"SLVRYG",4,992,85
"SNTTRM",10,3005,122
"SPLEEN",13,5331,146
"STMACH",11,8002,237
"TESTIS",27,17847,225
"THYROID",50,19422,399
"UTERUS",2,1943,101
"VAGINA",3,2058,106
"WHLBLD",15,8782,369
