GTEX-111YS	GTEX-111YS-0006-SM-5NQBE	SRR1397673
GTEX-1122O	GTEX-1122O-0005-SM-5O99J	SRR1314916
GTEX-1128S	GTEX-1128S-0005-SM-5P9HI	SRR1338880
GTEX-113IC	GTEX-113IC-0006-SM-5NQ9C	SRR1311644
GTEX-113JC	GTEX-113JC-0006-SM-5O997	SRR1311062
GTEX-117XS	GTEX-117XS-0005-SM-5PNU6	SRR1486719
GTEX-117YW	GTEX-117YW-0005-SM-5NQ8Z	SRR1368529
GTEX-1192W	GTEX-1192W-0005-SM-5NQBQ	SRR1366813
GTEX-1192X	GTEX-1192X-0005-SM-5NQC3	SRR1357781
GTEX-11DXW	GTEX-11DXW-0006-SM-5NQ7Y	SRR1312187
GTEX-11DXX	GTEX-11DXX-0005-SM-5NQ8B	SRR1311419
GTEX-11DXY	GTEX-11DXY-0006-SM-5NQ8N	SRR1444348
GTEX-11DXZ	GTEX-11DXZ-0006-SM-5LZZH	SRR1310412
GTEX-11DYG	GTEX-11DYG-0006-SM-5NQB2	SRR1500170
GTEX-11EI6	GTEX-11EI6-0005-SM-5N9GN	SRR1464835
GTEX-11EM3	GTEX-11EM3-0005-SM-5N9DK	SRR1471331
GTEX-11EMC	GTEX-11EMC-0006-SM-5O9DN	SRR1445365
GTEX-11EQ8	GTEX-11EQ8-0006-SM-5P9HJ	SRR1351836
GTEX-11EQ9	GTEX-11EQ9-0006-SM-5LUB6	SRR1332007
GTEX-11GS4	GTEX-11GS4-0006-SM-5SI9M	SRR1339856
GTEX-11GSO	GTEX-11GSO-0005-SM-5O9CA	SRR1362395
GTEX-11GSP	GTEX-11GSP-0006-SM-5N9EL	SRR1376294
GTEX-11I78	GTEX-11I78-0005-SM-5N9GB	SRR1383855
GTEX-11LCK	GTEX-11LCK-0005-SM-5O98U	SRR1444852
GTEX-11NSD	GTEX-11NSD-0005-SM-5LZZ5	SRR1479845
GTEX-11NUK	GTEX-11NUK-0005-SM-5MR5F	SRR1345266
GTEX-11NV4	GTEX-11NV4-0005-SM-5N9EX	SRR1412987
GTEX-11O72	GTEX-11O72-0006-SM-5O9DB	SRR1457375
GTEX-11OC5	GTEX-11OC5-0006-SM-5N9FA	SRR1442066
GTEX-11OF3	GTEX-11OF3-0006-SM-5O9CM	SRR1418707
GTEX-11ONC	GTEX-11ONC-0005-SM-5O9CY	SRR1339834
GTEX-11P7K	GTEX-11P7K-0006-SM-5N9FM	SRR1343501
GTEX-11P81	GTEX-11P81-0006-SM-5NQ7A	SRR1320363
GTEX-11P82	GTEX-11P82-0006-SM-5N9FY	SRR1319772
GTEX-11PRG	GTEX-11PRG-0005-SM-5NQ6X	SRR1348951
GTEX-11TT1	GTEX-11TT1-0005-SM-5NQ8Y	SRR1370742
GTEX-11TTK	GTEX-11TTK-0005-SM-5O9BX	SRR1315517
GTEX-11TUW	GTEX-11TUW-0006-SM-5LZW2	SRR1420669
GTEX-11UD2	GTEX-11UD2-0005-SM-5NQ9B	SRR1412947
GTEX-11VI4	GTEX-11VI4-0006-SM-5N9D8	SRR1378026
GTEX-11WQC	GTEX-11WQC-0006-SM-5LZVP	SRR1360460
GTEX-11WQK	GTEX-11WQK-0005-SM-5O9AV	SRR1358343
GTEX-11XUK	GTEX-11XUK-0005-SM-5LU9F	SRR1366543
GTEX-11ZTS	GTEX-11ZTS-0005-SM-5NQ8A	SRR1318857
GTEX-11ZTT	GTEX-11ZTT-0006-SM-5N9FX	SRR1489116
GTEX-11ZU8	GTEX-11ZU8-0005-SM-5PNU5	SRR1313514
GTEX-11ZUS	GTEX-11ZUS-0006-SM-5O9AJ	SRR1318815
GTEX-1211K	GTEX-1211K-0006-SM-5MR53	SRR1356248
GTEX-12126	GTEX-12126-0006-SM-5O9B8	SRR1443459
GTEX-1212Z	GTEX-1212Z-0006-SM-5NQ8M	SRR1440224
GTEX-12584	GTEX-12584-0005-SM-5N9GM	SRR1320137
GTEX-12696	GTEX-12696-0005-SM-5LZYS	SRR1457315
GTEX-1269C	GTEX-1269C-0005-SM-5N9CJ	SRR1318605
GTEX-12BJ1	GTEX-12BJ1-0006-SM-5SIB5	SRR1420960
GTEX-12C56	GTEX-12C56-0006-SM-5N9E9	SRR1336706
GTEX-12KS4	GTEX-12KS4-0005-SM-5SI94	SRR1435833
GTEX-12WSA	GTEX-12WSA-0005-SM-5O9BM	SRR1459739
GTEX-12WSC	GTEX-12WSC-0005-SM-5MR3H	SRR1350855
GTEX-12WSD	GTEX-12WSD-0005-SM-5N9FZ	SRR1452631
GTEX-12WSE	GTEX-12WSE-0005-SM-5NQAE	SRR1354665
GTEX-12WSF	GTEX-12WSF-0005-SM-5NQAQ	SRR1405437
GTEX-12WSG	GTEX-12WSG-0005-SM-5NQA2	SRR1326471
GTEX-12WSH	GTEX-12WSH-0005-SM-5NQ9P	SRR1388081
