Tissue,Key
Adipose_Subcutaneous,ADPSBQ
Adipose_Visceral_Omentum,ADPVSC
Adrenal_Gland,ADRNLG
Artery_Aorta,ARTAORT
Artery_Coronary,ARTACRN
Artery_Tibial,ARTTBL
Brain_Amygdala,BLDDER
Brain_Anterior_cingulate_cortex_BA24,BRNAMY
Brain_Caudate_basal_ganglia,BRNACC
Brain_Cerebellar_Hemisphere,BRNCDT
Brain_Cerebellum,BRNCHB
Brain_Cortex,BRNCHA
Brain_Frontal_Cortex_BA9,BRNCTXA
Brain_Hippocampus,BRNCTXB
Brain_Hypothalamus,BRNHPP
Brain_Nucleus_accumbens_basal_ganglia,BRNHPT
Brain_Putamen_basal_ganglia,BRNNCC
Brain_Spinal_cord_cervical_c-1,BRNPTM
Brain_Substantia_nigra,BRNSPC
Breast_Mammary_Tissue,BRNSNG
Cells_EBV-transformed_lymphocytes,BREAST
Cells_Transformed_fibroblasts,LCL
Colon_Sigmoid,FIBRLBLS
Colon_Transverse,CVXECT
Esophagus_Gastroesophageal_Junction,CVSEND
Esophagus_Mucosa,CLNSGM
Esophagus_Muscularis,CLNTRN
Heart_Atrial_Appendage,ESPGEJ
Heart_Left_Ventricle,ESPMCS
Liver,ESPMSL
Lung,FLLPNT
Minor_Salivary_Gland,HRTAA
Muscle_Skeletal,HRTLV
Nerve_Tibial,KDNCTX
Ovary,LIVER
Pancreas,LUNG
Pituitary,SLVRYG
Prostate,MSCLSK
Skin_Not_Sun_Exposed_Suprapubic,NERVET
Skin_Sun_Exposed_Lower_leg,OVARY
Small_Intestine_Terminal_Ileum,PNCREAS
Spleen,PTTARY
Stomach,PRSTTE
Testis,SKINNS
Thyroid,SKINS
Uterus,SNTTRM
Vagina,SPLEEN
Whole_Blood,STMACH
,TESTIS
,THYROID
,UTERUS
,VAGINA
,WHLBLD
