From	To	Species	Gene Name
CAST	831	Homo sapiens	calpastatin(CAST)
ATP1B3	483	Homo sapiens	ATPase Na+/K+ transporting subunit beta 3(ATP1B3)
ZDHHC11B	653082	Homo sapiens	zinc finger DHHC-type containing 11B(ZDHHC11B)
CROCC	9696	Homo sapiens	ciliary rootlet coiled-coil, rootletin(CROCC)
PLEKHM1	9842	Homo sapiens	pleckstrin homology and RUN domain containing M1(PLEKHM1)
SLC9A3	6550	Homo sapiens	solute carrier family 9 member A3(SLC9A3)
FAM20C	56975	Homo sapiens	FAM20C, golgi associated secretory pathway kinase(FAM20C)
TLR1	7096	Homo sapiens	toll like receptor 1(TLR1)
CNOT2	4848	Homo sapiens	CCR4-NOT transcription complex subunit 2(CNOT2)
SYT9	143425	Homo sapiens	synaptotagmin 9(SYT9)
LEMD1	93273	Homo sapiens	LEM domain containing 1(LEMD1)
TLR6	10333	Homo sapiens	toll like receptor 6(TLR6)
TTN	7273	Homo sapiens	titin(TTN)
CIAPIN1	57019	Homo sapiens	cytokine induced apoptosis inhibitor 1(CIAPIN1)
LZTFL1	54585	Homo sapiens	leucine zipper transcription factor like 1(LZTFL1)
ST3GAL5	8869	Homo sapiens	ST3 beta-galactoside alpha-2,3-sialyltransferase 5(ST3GAL5)
PLOD1	5351	Homo sapiens	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1(PLOD1)
RSPH1	89765	Homo sapiens	radial spoke head 1 homolog(RSPH1)
LRRC37A2	474170	Homo sapiens	leucine rich repeat containing 37 member A2(LRRC37A2)
C9orf78	51759	Homo sapiens	chromosome 9 open reading frame 78(C9orf78)
MYRFL	196446	Homo sapiens	myelin regulatory factor-like(MYRFL)
CHRNA4	1137	Homo sapiens	cholinergic receptor nicotinic alpha 4 subunit(CHRNA4)
ERAP2	64167	Homo sapiens	endoplasmic reticulum aminopeptidase 2(ERAP2)
AP5Z1	9907	Homo sapiens	adaptor related protein complex 5 zeta 1 subunit(AP5Z1)
PLXNB2	23654	Homo sapiens	plexin B2(PLXNB2)
HLA-A	3105	Homo sapiens	major histocompatibility complex, class I, A(HLA-A)
HLA-G	3135	Homo sapiens	major histocompatibility complex, class I, G(HLA-G)
TATDN3	128387	Homo sapiens	TatD DNase domain containing 3(TATDN3)
HLA-F	3134	Homo sapiens	major histocompatibility complex, class I, F(HLA-F)
KIAA1468	57614	Homo sapiens	KIAA1468(KIAA1468)
