SAMPID,TISSUE
GTEX-1117F-0003-SM-58Q7G,Whole_Blood
GTEX-1117F-0003-SM-5DWSB,Whole_Blood
GTEX-1117F-0003-SM-6WBT7,Whole_Blood
GTEX-1117F-0011-R10a-SM-AHZ7F,Brain_Frontal_Cortex_BA9
GTEX-1117F-0011-R10b-SM-CYKQ8,Brain_Frontal_Cortex_BA9
GTEX-1117F-0226-SM-5GZZ7,Adipose_Subcutaneous
GTEX-1117F-0426-SM-5EGHI,Muscle_Skeletal
GTEX-1117F-0526-SM-5EGHJ,Artery_Tibial
GTEX-1117F-0626-SM-5N9CS,Artery_Coronary
GTEX-1117F-0726-SM-5GIEN,Heart_Atrial_Appendage
GTEX-1117F-1326-SM-5EGHH,Adipose_Visceral_Omentum
GTEX-1117F-2226-SM-5N9CH,Ovary
GTEX-1117F-2426-SM-5EGGH,Uterus
GTEX-1117F-2526-SM-5GZY6,Vagina
GTEX-1117F-2826-SM-5GZXL,Breast_Mammary_Tissue
GTEX-1117F-2926-SM-5GZYI,Skin_Not_Sun_Exposed_Suprapubic
GTEX-1117F-3026-SM-5GZYU,Minor_Salivary_Gland
GTEX-1117F-3226-SM-5N9CT,Brain_Cortex
GTEX-111CU-0003-SM-58Q95,Whole_Blood
GTEX-111CU-0003-SM-5DWTR,Whole_Blood
GTEX-111CU-0003-SM-6WBUD,Whole_Blood
GTEX-111CU-0126-SM-5GZWZ,Adrenal_Gland
GTEX-111CU-0226-SM-5GZXC,Thyroid
GTEX-111CU-0326-SM-5GZXO,Lung
GTEX-111CU-0426-SM-5GZY1,Spleen
GTEX-111CU-0526-SM-5EGHK,Pancreas
GTEX-111CU-0626-SM-5EGHL,Esophagus_Muscularis
GTEX-111CU-0726-SM-5GZYD,Esophagus - Esophagus_Mucosa
GTEX-111CU-0826-SM-5EGIJ,Esophagus_Gastroesophageal_Junction
GTEX-111CU-0926-SM-5EGIK,Stomach
GTEX-111CU-1026-SM-5EGIL,Adipose_Visceral_Omentum
GTEX-111CU-1126-SM-5EGIM,Skin_Not_Sun_Exposed_Suprapubic
GTEX-111CU-1226-SM-5EGIN,Colon_Sigmoid
GTEX-111CU-1326-SM-5NQ8L,Small_Intestine_Terminal_Ileum
GTEX-111CU-1426-SM-5GZYP,Colon_Transverse
GTEX-111CU-1526-SM-5N9FS,Prostate
GTEX-111CU-1726-SM-5EGHM,Testis
GTEX-111CU-1826-SM-5GZYN,Adipose_Subcutaneous
GTEX-111CU-1926-SM-5GZYZ,Skin_Sun_Exposed_Lower_leg
GTEX-111CU-2026-SM-5GZZC,Muscle_Skeletal
GTEX-111CU-2226-SM-5N9G5,Nerve_Tibial
GTEX-111FC-0001-SM-58Q7U,Whole_Blood
GTEX-111FC-0001-SM-5DWSO,Whole_Blood
GTEX-111FC-0001-SM-6WBTJ,Whole_Blood
