Run	Sample_Name	body_site	submitted_subject_id
SRR598484	GTEX-PW2O-0526-SM-2I3DX	Lung	GTEX-PW2O
SRR8228298	GTEX-PW2O-0526-SM-2I3DX	Lung	GTEX-PW2O
SRR598124	GTEX-NPJ8-0011-R4a-SM-2HML3	Brain - Amygdala	GTEX-NPJ8
SRR8227730	GTEX-NPJ8-0011-R4a-SM-2HML3	Brain - Amygdala	GTEX-NPJ8
SRR599192	GTEX-N7MT-0011-R5a-SM-2I3G6	Brain - Caudate (basal ganglia)	GTEX-N7MT
SRR8227642	GTEX-N7MT-0011-R5a-SM-2I3G6	Brain - Caudate (basal ganglia)	GTEX-N7MT
SRR601925	GTEX-OHPK-0526-SM-2HMJB	Lung	GTEX-OHPK
SRR8227810	GTEX-OHPK-0526-SM-2HMJB	Lung	GTEX-OHPK
SRR601068	GTEX-Q2AG-0126-SM-2HMLB	Skin - Sun Exposed (Lower leg)	GTEX-Q2AG
SRR8228416	GTEX-Q2AG-0126-SM-2HMLB	Skin - Sun Exposed (Lower leg)	GTEX-Q2AG
SRR602598	GTEX-Q2AG-0011-R9A-SM-2HMJ6	Brain - Spinal cord (cervical c-1)	GTEX-Q2AG
SRR8228415	GTEX-Q2AG-0011-R9A-SM-2HMJ6	Brain - Spinal cord (cervical c-1)	GTEX-Q2AG
SRR607586	GTEX-OXRL-0526-SM-2I3EZ	Lung	GTEX-OXRL
SRR8227984	GTEX-OXRL-0526-SM-2I3EZ	Lung	GTEX-OXRL
SRR608288	GTEX-OXRK-0926-SM-2HMKP	Lung	GTEX-OXRK
SRR8227970	GTEX-OXRK-0926-SM-2HMKP	Lung	GTEX-OXRK
SRR600445	GTEX-Q2AG-0011-R4A-SM-2HMKA	Brain - Amygdala	GTEX-Q2AG
SRR8228410	GTEX-Q2AG-0011-R4A-SM-2HMKA	Brain - Amygdala	GTEX-Q2AG
SRR608344	GTEX-OIZH-0005-SM-2HMJN	Whole Blood	GTEX-OIZH
SRR8227895	GTEX-OIZH-0005-SM-2HMJN	Whole Blood	GTEX-OIZH
SRR600493	GTEX-PSDG-0226-SM-2I5FR	Skin - Sun Exposed (Lower leg)	GTEX-PSDG
SRR8228259	GTEX-PSDG-0226-SM-2I5FR	Skin - Sun Exposed (Lower leg)	GTEX-PSDG
SRR608662	GTEX-OHPN-2526-SM-2I5H3	Brain - Cortex	GTEX-OHPN
SRR8227877	GTEX-OHPN-2526-SM-2I5H3	Brain - Cortex	GTEX-OHPN
SRR607406	GTEX-NPJ7-0011-R5a-SM-2I5GY	Brain - Caudate (basal ganglia)	GTEX-NPJ7
SRR8227712	GTEX-NPJ7-0011-R5a-SM-2I5GY	Brain - Caudate (basal ganglia)	GTEX-NPJ7
SRR598253	GTEX-Q2AG-0011-R6A-SM-2HML7	Brain - Nucleus accumbens (basal ganglia)	GTEX-Q2AG
SRR8228412	GTEX-Q2AG-0011-R6A-SM-2HML7	Brain - Nucleus accumbens (basal ganglia)	GTEX-Q2AG
SRR603942	GTEX-OHPJ-0526-SM-2HMJR	Thyroid	GTEX-OHPJ
SRR8227798	GTEX-OHPJ-0526-SM-2HMJR	Thyroid	GTEX-OHPJ
SRR598276	GTEX-N7MS-0011-R7a-SM-2HMKN	Brain - Putamen (basal ganglia)	GTEX-N7MS
SRR8227619	GTEX-N7MS-0011-R7a-SM-2HMKN	Brain - Putamen (basal ganglia)	GTEX-N7MS
SRR598894	GTEX-OHPN-0011-R7A-SM-2I5FI	Brain - Putamen (basal ganglia)	GTEX-OHPN
SRR8227870	GTEX-OHPN-0011-R7A-SM-2I5FI	Brain - Putamen (basal ganglia)	GTEX-OHPN
SRR604002	GTEX-PW2O-0006-SM-2I3DV	Whole Blood	GTEX-PW2O
SRR8228293	GTEX-PW2O-0006-SM-2I3DV	Whole Blood	GTEX-PW2O
SRR608064	GTEX-P4PQ-2626-SM-2HMKM	Thyroid	GTEX-P4PQ
SRR8228108	GTEX-P4PQ-2626-SM-2HMKM	Thyroid	GTEX-P4PQ
SRR602753	GTEX-OHPN-2626-SM-2I5H1	Brain - Cerebellum	GTEX-OHPN
SRR8227878	GTEX-OHPN-2626-SM-2I5H1	Brain - Cerebellum	GTEX-OHPN
SRR603397	GTEX-NPJ7-0011-R2a-SM-2I3GF	Brain - Substantia nigra	GTEX-NPJ7
SRR8227710	GTEX-NPJ7-0011-R2a-SM-2I3GF	Brain - Substantia nigra	GTEX-NPJ7
SRR599281	GTEX-OXRO-0006-SM-2I5EM	Whole Blood	GTEX-OXRO
SRR8228004	GTEX-OXRO-0006-SM-2I5EM	Whole Blood	GTEX-OXRO
SRR598695	GTEX-Q2AG-1026-SM-2HMJX	Lung	GTEX-Q2AG
SRR8228425	GTEX-Q2AG-1026-SM-2HMJX	Lung	GTEX-Q2AG
SRR598862	GTEX-Q2AG-0011-R8A-SM-2HMK5	Brain - Hypothalamus	GTEX-Q2AG
SRR8228414	GTEX-Q2AG-0011-R8A-SM-2HMK5	Brain - Hypothalamus	GTEX-Q2AG
SRR602622	GTEX-NL4W-0011-R5a-SM-2I3GD	Brain - Caudate (basal ganglia)	GTEX-NL4W
SRR8227701	GTEX-NL4W-0011-R5a-SM-2I3GD	Brain - Caudate (basal ganglia)	GTEX-NL4W
SRR604653	GTEX-P4QT-0126-SM-2I3FL	Skin - Sun Exposed (Lower leg)	GTEX-P4QT
SRR8228138	GTEX-P4QT-0126-SM-2I3FL	Skin - Sun Exposed (Lower leg)	GTEX-P4QT
SRR598428	GTEX-Q2AG-0011-R5A-SM-2HMJH	Brain - Caudate (basal ganglia)	GTEX-Q2AG
SRR8228411	GTEX-Q2AG-0011-R5A-SM-2HMJH	Brain - Caudate (basal ganglia)	GTEX-Q2AG
SRR595926	GTEX-N7MS-0011-R10A-SM-2HMJK	Brain - Frontal Cortex (BA9)	GTEX-N7MS
SRR8227609	GTEX-N7MS-0011-R10A-SM-2HMJK	Brain - Frontal Cortex (BA9)	GTEX-N7MS
SRR608096	GTEX-N7MS-0826-SM-2HML4	Heart - Left Ventricle	GTEX-N7MS
SRR8227627	GTEX-N7MS-0826-SM-2HML4	Heart - Left Ventricle	GTEX-N7MS
SRR598749	K-562-SM-2D7VY	Cells - Leukemia cell line (CML)	K-562
SRR8232961	K-562-SM-2D7VY	Cells - Leukemia cell line (CML)	K-562
SRR599510	GTEX-OHPN-0011-R10A-SM-2I5FL	Brain - Frontal Cortex (BA9)	GTEX-OHPN
SRR8227860	GTEX-OHPN-0011-R10A-SM-2I5FL	Brain - Frontal Cortex (BA9)	GTEX-OHPN
