GTEX-111YS	GTEX-111YS-0006-SM-5NQBE	SRR8218342
GTEX-1122O	GTEX-1122O-0005-SM-5O99J	SRR8218368
GTEX-1128S	GTEX-1128S-0005-SM-5P9HI	SRR8218391
GTEX-113JC	GTEX-113JC-0006-SM-5O997	SRR8218412
GTEX-117XS	GTEX-117XS-0005-SM-5PNU6	SRR8218423
GTEX-117YW	GTEX-117YW-0005-SM-5NQ8Z	SRR8218436
GTEX-1192W	GTEX-1192W-0005-SM-5NQBQ	SRR8218479
GTEX-1192X	GTEX-1192X-0005-SM-5NQC3	SRR8218487
GTEX-11DXX	GTEX-11DXX-0005-SM-5NQ8B	SRR8218516
GTEX-11DXY	GTEX-11DXY-0006-SM-5NQ8N	SRR8218544
GTEX-11DXZ	GTEX-11DXZ-0006-SM-5LZZH	SRR8218565
GTEX-11DYG	GTEX-11DYG-0006-SM-5NQB2	SRR8218589
GTEX-11EI6	GTEX-11EI6-0005-SM-5N9GN	SRR8218615
GTEX-11EM3	GTEX-11EM3-0005-SM-5N9DK	SRR8218634
GTEX-11EMC	GTEX-11EMC-0006-SM-5O9DN	SRR8218658
GTEX-11EQ8	GTEX-11EQ8-0006-SM-5P9HJ	SRR8218680
GTEX-11EQ9	GTEX-11EQ9-0006-SM-5LUB6	SRR8218693
GTEX-11GS4	GTEX-11GS4-0006-SM-5SI9M	SRR8218719
GTEX-11GSO	GTEX-11GSO-0005-SM-5O9CA	SRR8218740
GTEX-11GSP	GTEX-11GSP-0006-SM-5N9EL	SRR8218754
GTEX-11I78	GTEX-11I78-0005-SM-5N9GB	SRR8218796
GTEX-11LCK	GTEX-11LCK-0005-SM-5O98U	SRR8218833
GTEX-11NUK	GTEX-11NUK-0005-SM-5MR5F	SRR8218875
GTEX-11NV4	GTEX-11NV4-0005-SM-5N9EX	SRR8218896
GTEX-11P7K	GTEX-11P7K-0006-SM-5N9FM	SRR8218992
GTEX-11P81	GTEX-11P81-0006-SM-5NQ7A	SRR8219016
GTEX-11P82	GTEX-11P82-0006-SM-5N9FY	SRR8219040
GTEX-11PRG	GTEX-11PRG-0005-SM-5NQ6X	SRR8219061
GTEX-11TT1	GTEX-11TT1-0005-SM-5NQ8Y	SRR8219076
GTEX-11TTK	GTEX-11TTK-0005-SM-5O9BX	SRR8219103
GTEX-11TUW	GTEX-11TUW-0006-SM-5LZW2	SRR8219115
GTEX-11UD2	GTEX-11UD2-0005-SM-5NQ9B	SRR8219148
GTEX-11VI4	GTEX-11VI4-0006-SM-5N9D8	SRR8219166
GTEX-11WQC	GTEX-11WQC-0006-SM-5LZVP	SRR8219185
GTEX-11WQK	GTEX-11WQK-0005-SM-5O9AV	SRR8219203
GTEX-11XUK	GTEX-11XUK-0005-SM-5LU9F	SRR8219229
GTEX-11ZTS	GTEX-11ZTS-0005-SM-5NQ8A	SRR8219247
GTEX-11ZTT	GTEX-11ZTT-0006-SM-5N9FX	SRR8219272
GTEX-11ZUS	GTEX-11ZUS-0006-SM-5O9AJ	SRR8219299
GTEX-11ZVC	GTEX-11ZVC-0006-SM-5N9GA	SRR8219324
GTEX-1211K	GTEX-1211K-0006-SM-5MR53	SRR8219345
GTEX-12126	GTEX-12126-0006-SM-5O9B8	SRR8219369
GTEX-1212Z	GTEX-1212Z-0006-SM-5NQ8M	SRR8219384
GTEX-12584	GTEX-12584-0005-SM-5N9GM	SRR8219405
GTEX-12BJ1	GTEX-12BJ1-0006-SM-5SIB5	SRR8219468
GTEX-12C56	GTEX-12C56-0006-SM-5N9E9	SRR8219495
GTEX-12KS4	GTEX-12KS4-0005-SM-5SI94	SRR8219512
GTEX-12WSA	GTEX-12WSA-0005-SM-5O9BM	SRR8219549
GTEX-12WSD	GTEX-12WSD-0005-SM-5N9FZ	SRR8219606
GTEX-12WSE	GTEX-12WSE-0005-SM-5NQAE	SRR8219643
GTEX-12WSF	GTEX-12WSF-0005-SM-5NQAQ	SRR8219657
GTEX-12WSG	GTEX-12WSG-0005-SM-5NQA2	SRR8219674
GTEX-12WSH	GTEX-12WSH-0005-SM-5NQ9P	SRR8219695
GTEX-12WSI	GTEX-12WSI-0005-SM-5O99K	SRR8219714
GTEX-12WSJ	GTEX-12WSJ-0005-SM-5LU8S	SRR8219724
GTEX-12WSK	GTEX-12WSK-0006-SM-5NQA1	SRR8219740
GTEX-12WSL	GTEX-12WSL-0005-SM-5NQAD	SRR8219764
GTEX-12WSM	GTEX-12WSM-0005-SM-5NQB3	SRR8219786
GTEX-12WSN	GTEX-12WSN-0006-SM-5NQAP	SRR8219810
GTEX-12ZZW	GTEX-12ZZW-0005-SM-5O9BY	SRR8219831
GTEX-12ZZX	GTEX-12ZZX-0005-SM-5O9A9	SRR8219848
GTEX-13111	GTEX-13111-0005-SM-5NQ7Z	SRR8219923
GTEX-1313W	GTEX-1313W-0006-SM-5O9B1	SRR8219991
GTEX-1314G	GTEX-1314G-0005-SM-5NQ9O	SRR8220020
GTEX-131XE	GTEX-131XE-0006-SM-5P9F9	SRR8220032
GTEX-131XF	GTEX-131XF-0006-SM-5P9HK	SRR8220055
GTEX-131XG	GTEX-131XG-0006-SM-5O9CE	SRR8220083
GTEX-131XH	GTEX-131XH-0006-SM-5O98V	SRR8220108
GTEX-131XW	GTEX-131XW-0006-SM-5O9AO	SRR8220130
GTEX-131YS	GTEX-131YS-0005-SM-5NQAS	SRR8220148
GTEX-132NY	GTEX-132NY-0005-SM-5O9AC	SRR8220206
GTEX-132Q8	GTEX-132Q8-0006-SM-5NQA4	SRR8220223
GTEX-132QS	GTEX-132QS-0005-SM-5LZXK	SRR8220242
GTEX-139D8	GTEX-139D8-0006-SM-5LZX8	SRR8220404
GTEX-139TT	GTEX-139TT-0006-SM-5O9CG	SRR8220476
GTEX-139UW	GTEX-139UW-0005-SM-5NQ8U	SRR8220524
GTEX-13CF2	GTEX-13CF2-0006-SM-5O99L	SRR8220559
GTEX-13CF3	GTEX-13CF3-0006-SM-5N9ED	SRR8220579
GTEX-13CIG	GTEX-13CIG-0006-SM-5P9HF	SRR8220602
GTEX-13CZU	GTEX-13CZU-0005-SM-5LU8K	SRR8220607
GTEX-13CZV	GTEX-13CZV-0006-SM-5P9IN	SRR8220609
GTEX-13FTW	GTEX-13FTW-0005-SM-5LZVZ	SRR8220743
GTEX-13FTX	GTEX-13FTX-0005-SM-5N9F6	SRR8220767
GTEX-13FTY	GTEX-13FTY-0005-SM-5NQ78	SRR8220781
GTEX-13FTZ	GTEX-13FTZ-0005-SM-5NQ9N	SRR8220795
GTEX-13FXS	GTEX-13FXS-0006-SM-5O99X	SRR8220803
GTEX-13G51	GTEX-13G51-0005-SM-5N9EP	SRR8220822
GTEX-13JUV	GTEX-13JUV-0006-SM-5NQ97	SRR8220864
GTEX-13O61	GTEX-13O61-0005-SM-5O9AU	SRR8221197
GTEX-13OVG	GTEX-13OVG-0005-SM-5P9HA	SRR8221222
GTEX-13OVH	GTEX-13OVH-0005-SM-5P9HB	SRR8221239
GTEX-13OVI	GTEX-13OVI-0001-SM-5O9BL	SRR8221257
GTEX-13OVJ	GTEX-13OVJ-0006-SM-5O98T	SRR8221280
GTEX-13OVK	GTEX-13OVK-0006-SM-5O9B7	SRR8221311
GTEX-13OVL	GTEX-13OVL-0006-SM-5O996	SRR8221327
GTEX-13OW6	GTEX-13OW6-0005-SM-5NQ9Z	SRR8221377
GTEX-13OW8	GTEX-13OW8-0005-SM-5NQAC	SRR8221433
GTEX-13PL7	GTEX-13PL7-0005-SM-5N9ET	SRR8221487
