intron_cluster	variant_id	TISSUE_ID	adj_p	qval	symbol
13:28015386:28019225:clu_22821_NA	13_28025615_G_C_b37	SKINS	5.6124e-50	8.81909670666667e-47	MTIF3
11:428199:428387:clu_88170_NA	11_428385_A_G_b37	SKINS	3.20966e-49	4.88083447749104e-46	ANO9
13:28015386:28019225:clu_22821_NA	13_28016236_T_C_b37	ADPSBQ	2.14605e-46	3.85804320063559e-43	MTIF3
13:28015386:28019225:clu_22821_NA	13_28016236_T_C_b37	ARTTBL	3.05064e-46	6.87365985829787e-43	MTIF3
13:28015386:28019225:clu_22821_NA	13_28015387_C_G_b37	NERVET	1.72921e-39	1.75094687128878e-36	MTIF3
11:428199:428387:clu_88170_NA	11_428385_A_G_b37	SKINNS	3.15277e-39	4.74332010492908e-36	ANO9
5:148800107:148801044:clu_30375_NA	5_148800089_G_A_b37	ARTTBL	1.51488e-35	1.59627276895522e-32	CARMN
12:113355505:113357194:clu_55151_NA	12_113360786_T_C_b37	ESPGEJ	2.85987e-34	2.33336243325e-30	OAS1
12:113355505:113357194:clu_55151_NA	12_113360786_T_C_b37	CLNTRN	3.21693e-33	1.01099054837778e-29	OAS1
12:113355505:113356402:clu_55151_NA	12_113357209_G_A_b37	ESPGEJ	4.10132e-32	1.8913638396087e-28	OAS1
1:38023349:38027158:clu_40826_NA	1_38046446_T_C_b37	THYROID	1.96236e-31	9.81797865707547e-29	DNALI1
22:49042558:49103529:clu_38458_NA	22_49088916_C_T_b37	NERVET	3.05256e-31	1.82151965333333e-28	TAFA5
13:28015386:28019225:clu_22821_NA	13_28015387_C_G_b37	MSCLSK	9.5525e-31	5.76460799895339e-28	MTIF3
22:49089193:49103529:clu_38458_NA	22_49088916_C_T_b37	NERVET	3.94884e-30	2.22196618074271e-27	TAFA5
12:70636673:70637092:clu_53930_NA	12_70636829_G_A_b37	THYROID	6.63705e-30	2.99880861805112e-27	CNOT2
12:113355505:113356402:clu_55151_NA	12_113360786_T_C_b37	SPLEEN	7.66308e-30	3.25119196236e-25	OAS1
12:113355505:113356402:clu_55151_NA	12_113357209_G_A_b37	SKINS	1.59281e-29	7.29780475453564e-27	OAS1
12:70636673:70636846:clu_53930_NA	12_70566347_C_T_b37	THYROID	7.42808e-28	2.92889332468402e-25	CNOT2
11:428199:428387:clu_88170_NA	11_428385_A_G_b37	THYROID	5.64917e-27	2.08776690626307e-24	ANO9
12:113355505:113357194:clu_55151_NA	12_113360786_T_C_b37	SPLEEN	6.88e-27	1.12267575384615e-22	OAS1
4:169344925:169348221:clu_11006_NA	4_169347649_C_G_b37	LUNG	7.09971e-27	3.91699956120936e-24	DDX60L
12:113355505:113356402:clu_55151_NA	12_113360786_T_C_b37	CLNSGM	4.26887e-26	8.54311635985849e-23	OAS1
5:148786641:148800044:clu_30375_NA	5_148800089_G_A_b37	ARTTBL	3.99577e-25	2.1000051814268e-22	CARMN
12:113355505:113356402:clu_55151_NA	12_113357209_G_A_b37	ARTAORT	4.55726e-25	5.16977280326203e-22	OAS1
11:428199:428358:clu_88170_NA	11_431834_A_G_b37	SKINS	4.89371e-25	1.72875908457119e-22	ANO9
13:28015386:28019225:clu_22821_NA	13_28031881_C_T_b37	BREAST	7.25048e-25	8.3138902652973e-22	MTIF3
