"rsID" "PosID" "Direction" "Spearman_rho" "-log10(p)"
"1" "rs10495140" "1_220053170" "rev" -0.241 2.5899
"2" "rs10517470" "4_38136755" "fwd" 0.139 1.0723
"3" "rs10517470" "4_38136755" "rev" 0.139 1.0723
"4" "rs10821299" "9_96895108" "fwd" -0.218 2.1845
"5" "rs10863975" "1_212666653" "fwd" -0.253 2.8343
"6" "rs10991893" "9_94104340" "rev" 0.278 3.3366
"7" "rs10991893" "9_94104340" "rev" 0.281 3.4113
"8" "rs10991893" "9_94104340" "rev" 0.294 3.6987
"9" "rs10991893" "9_94104340" "rev" 0.283 3.4392
"10" "rs11038086" "11_44647448" "rev" 0.308 4.004
"11" "rs11038409" "11_45371153" "fwd" 0.281 3.4004
"12" "rs11038409" "11_45371153" "rev" 0.281 3.4088
"13" "rs11077286" "16_8331709" "fwd" -0.247 2.7023
"14" "rs11168098" "5_148785100" "rev" 0.245 2.6649
"15" "rs11168098" "5_148785100" "fwd" 0.262 3.0046
"16" "rs11216646" "11_117824158" "fwd" -0.297 3.761
"17" "rs11244545" "10_127241095" "fwd" -0.225 2.3147
"18" "rs11265928" "9_92466747" "fwd" -0.276 3.3002
"19" "rs11265928" "9_92466747" "fwd" -0.289 3.5656
"20" "rs11265928" "9_92466747" "fwd" -0.269 3.1476
"21" "rs11265928" "9_92466747" "rev" -0.231 2.4181
"22" "rs11265928" "9_92466747" "rev" -0.259 2.9349
"23" "rs11265928" "9_92466747" "fwd" -0.253 2.8244
"24" "rs11265928" "9_92466747" "fwd" -0.231 2.417
"25" "rs11265928" "9_92466747" "rev" -0.219 2.2051
"26" "rs11265928" "9_92466747" "fwd" -0.246 2.6981
"27" "rs11265928" "9_92466747" "fwd" -0.252 2.8088
"28" "rs113173619" "12_68876978" "rev" -0.254 2.8418
"29" "rs113651982" "1_32039979" "rev" 0.255 2.8651
"30" "rs113843235" "19_58513878" "rev" -0.206 2.0005
"31" "rs113980427" "14_52073287" "fwd" -0.139 1.0734
"32" "rs114097717" "1_53268118" "rev" 0.284 3.4597
"33" "rs114097717" "1_53268118" "fwd" 0.282 3.4197
"34" "rs11573288" "1_20416794" "rev" 0.269 3.1461
"35" "rs11573288" "1_20416794" "rev" -0.283 3.4413
"36" "rs11573288" "1_20416794" "fwd" -0.29 3.6007
"37" "rs11606318" "11_3878386" "fwd" 0.259 2.9351
"38" "rs116420912" "2_151260414" "fwd" -0.23 2.4049
"39" "rs11655673" "17_76255085" "fwd" 0.28 3.3886
"40" "rs11668554" "19_11157919" "fwd" -0.186 1.6955
"41" "rs11668554" "19_11157919" "rev" -0.187 1.6969
"42" "rs11668554" "19_11157919" "fwd" 0.229 2.3762
"43" "rs117052736" "12_119690516" "rev" -0.255 2.8599
"44" "rs117052736" "12_119690516" "rev" -0.257 2.898
"45" "rs117052736" "12_119690516" "rev" -0.256 2.8857
"46" "rs117338034" "11_116518743" "rev" -0.294 3.6849
"47" "rs117341358" "19_50454383" "rev" 0.256 2.8832
"48" "rs117389217" "2_198138210" "rev" 0.139 1.0722
"49" "rs117459293" "11_8438770" "rev" -0.306 3.9604
"50" "rs117459293" "11_8438770" "fwd" -0.311 4.0808
"51" "rs117564299" "15_91495632" "rev" 0.284 3.4703
"52" "rs11767699" "7_36080960" "fwd" -0.276 3.3034
"53" "rs11819605" "10_29017879" "rev" 0.311 4.0826
"54" "rs1200132" "1_169078990" "fwd" -0.238 2.5418
"55" "rs1200132" "1_169078990" "fwd" 0.238 2.5416
"56" "rs12190327" "6_137801137" "fwd" -0.326 4.4535
"57" "rs12190327" "6_137801137" "rev" -0.326 4.4489
"58" "rs12192374" "6_42106384" "fwd" 0.287 3.5413
"59" "rs12203093" "6_111585382" "rev" 0.282 3.4171
"60" "rs12205378" "6_33846937" "fwd" 0.179 1.5945
"61" "rs12205378" "6_33846937" "rev" 0.18 1.5972
"62" "rs12205378" "6_33846937" "rev" -0.261 2.99
"63" "rs12355168" "10_73002678" "rev" 0.249 2.7495
"64" "rs12355168" "10_73002678" "fwd" -0.292 3.637
"65" "rs12355168" "10_73002678" "fwd" 0.281 3.3982
"66" "rs12425605" "12_54146763" "rev" 0.287 3.5259
"67" "rs12425605" "12_54146763" "fwd" -0.219 2.2048
"68" "rs12425605" "12_54146763" "rev" -0.219 2.2072
"69" "rs12425605" "12_54146763" "fwd" 0.258 2.9273
"70" "rs12481298" "20_62051097" "fwd" 0.191 1.7608
"71" "rs12481298" "20_62051097" "rev" 0.191 1.7608
"72" "rs12481298" "20_62051097" "rev" 0.14 1.0788
"73" "rs12555823" "9_96150254" "rev" -0.247 2.708
"74" "rs12781217" "10_11655953" "fwd" 0.284 3.4551
"75" "rs12802894" "11_21376727" "rev" -0.228 2.3571
"76" "rs12804624" "11_3923570" "fwd" 0.237 2.5175
"77" "rs12804624" "11_3923570" "rev" 0.237 2.517
"78" "rs12815906" "12_22352974" "fwd" 0.306 3.9595
"79" "rs1284373" "1_33355923" "rev" 0.272 3.2052
"80" "rs12880424" "14_101459660" "rev" 0.139 1.0694
"81" "rs12886003" "14_74263959" "fwd" -0.245 2.6813
"82" "rs12937082" "17_6701616" "rev" -0.272 3.1996
"83" "rs1296372" "12_113427626" "rev" -0.185 1.6787
"84" "rs12998257" "2_119637357" "rev" 0.267 3.1035
"85" "rs12998257" "2_119637357" "rev" 0.25 2.7704
"86" "rs13099725" "3_126927930" "fwd" 0.246 2.7005
"87" "rs13242110" "7_55283486" "fwd" 0.139 1.0732
"88" "rs142757127" "6_43070336" "rev" 0.278 3.3351
"89" "rs16835593" "1_34025030" "rev" 0.237 2.5301
"90" "rs16992934" "20_742716" "fwd" 0.232 2.4402
"91" "rs17200462" "18_53764157" "fwd" 0.237 2.5225
"92" "rs17208502" "5_141043299" "fwd" -0.273 3.225
"93" "rs17240980" "16_57933771" "rev" 0.214 2.1175
"94" "rs17240980" "16_57933771" "fwd" 0.215 2.1487
"95" "rs17240980" "16_57933771" "rev" 0.215 2.1487
"96" "rs17322978" "15_70073200" "rev" 0.276 3.292
"97" "rs17322978" "15_70073200" "fwd" 0.275 3.2752
"98" "rs17337621" "8_124542519" "fwd" 0.326 4.4645
"99" "rs17337621" "8_124542519" "fwd" -0.314 4.1654
"100" "rs17361668" "11_102720344" "rev" -0.288 3.5626
"101" "rs17398501" "1_161267531" "rev" 0.331 4.574
"102" "rs17488597" "8_16816092" "rev" 0.253 2.8275
"103" "rs17536922" "15_85461106" "rev" 0.257 2.9078
"104" "rs17536922" "15_85461106" "fwd" 0.257 2.9067
"105" "rs17554547" "16_3507802" "fwd" -0.282 3.4204
"106" "rs17576087" "4_37379845" "fwd" 0.232 2.4338
"107" "rs17695731" "1_211710139" "fwd" 0.139 1.0744
"108" "rs17695731" "1_211710139" "rev" 0.139 1.0744
"109" "rs17714966" "8_9153982" "rev" 0.139 1.0735
"110" "rs17714966" "8_9153982" "fwd" 0.139 1.0735
"111" "rs177299" "12_47693681" "rev" 0.263 3.0271
"112" "rs177299" "12_47693681" "fwd" 0.269 3.1378
"113" "rs17828380" "15_63467887" "fwd" -0.21 2.0663
"114" "rs17828380" "15_63467887" "rev" -0.221 2.2459
"115" "rs17828907" "14_69011205" "rev" 0.195 1.8304
"116" "rs198387" "1_11916918" "rev" 0.279 3.3569
"117" "rs2057778" "12_113350796" "fwd" 0.305 3.9544
"118" "rs2057778" "12_113350796" "fwd" 0.247 2.7085
"119" "rs2057778" "12_113350796" "fwd" 0.264 3.0374
"120" "rs2057778" "12_113350796" "fwd" 0.324 4.3956
"121" "rs2057778" "12_113350796" "fwd" 0.318 4.2616
"122" "rs2057778" "12_113350796" "fwd" 0.431 7.6566
"123" "rs2057778" "12_113350796" "fwd" 0.429 7.5947
"124" "rs2104189" "1_168935776" "fwd" -0.254 2.8474
"125" "rs2136622" "18_1949423" "fwd" 0.326 4.4501
"126" "rs2136622" "18_1949423" "fwd" -0.326 4.4501
"127" "rs2136622" "18_1949423" "rev" -0.326 4.458
"128" "rs2136622" "18_1949423" "rev" 0.307 3.9893
"129" "rs220892" "6_15769223" "rev" 0.306 3.971
"130" "rs220892" "6_15769223" "fwd" 0.3 3.8203
"131" "rs2427160" "20_60092552" "rev" 0.299 3.795
"132" "rs2427160" "20_60092552" "fwd" 0.293 3.6626
"133" "rs2499832" "1_161975329" "rev" 0.301 3.8451
"134" "rs2499832" "1_161975329" "rev" -0.229 2.3815
"135" "rs2501274" "1_22380012" "rev" -0.249 2.7482
"136" "rs2501274" "1_22380012" "fwd" -0.249 2.747
"137" "rs2697153" "3_11023672" "rev" 0.279 3.3655
"138" "rs2750122" "14_59219219" "rev" 0.256 2.8773
"139" "rs28394343" "7_43673447" "rev" -0.248 2.7294
"140" "rs2902065" "2_68482327" "rev" -0.267 3.1048
"141" "rs3132043" "2_115002930" "fwd" 0.251 2.7794
"142" "rs3132043" "2_115002930" "rev" 0.251 2.7794
"143" "rs34179780" "2_106013147" "fwd" -0.351 5.1243
"144" "rs34596797" "1_39230383" "rev" -0.28 3.3695
"145" "rs34687781" "5_94263312" "rev" 0.208 2.0295
"146" "rs34830798" "1_222978580" "rev" 0.311 4.077
"147" "rs34904359" "3_46503906" "rev" 0.252 2.8162
"148" "rs35088334" "6_41700858" "rev" -0.267 3.1141
"149" "rs35088334" "6_41700858" "fwd" -0.268 3.1251
"150" "rs35881224" "1_244489899" "rev" 0.261 2.9842
"151" "rs35996687" "11_458595" "fwd" 0.296 3.7341
"152" "rs3741435" "12_53594260" "fwd" -0.139 1.0733
"153" "rs3766820" "1_33643983" "fwd" -0.255 2.8637
"154" "rs3766820" "1_33643983" "rev" -0.269 3.1428
"155" "rs3780701" "9_132615515" "fwd" -0.32 4.3072
"156" "rs379327" "19_56370166" "rev" -0.29 3.599
"157" "rs383721" "14_69178795" "rev" -0.264 3.0482
"158" "rs383721" "14_69178795" "fwd" -0.249 2.7466
"159" "rs41274790" "1_220233219" "rev" -0.231 2.417
"160" "rs4393715" "2_29655133" "fwd" -0.286 3.5157
"161" "rs4418560" "1_39387607" "rev" -0.232 2.4322
"162" "rs45534934" "5_150518725" "rev" 0.139 1.0697
"163" "rs45534934" "5_150518725" "rev" 0.139 1.0697
"164" "rs45534934" "5_150518725" "fwd" 0.139 1.0697
"165" "rs45611736" "20_3672389" "fwd" -0.275 3.2687
"166" "rs45611736" "20_3672389" "fwd" 0.28 3.3768
"167" "rs4714738" "6_44056585" "fwd" 0.23 2.3919
"168" "rs4844488" "1_209885509" "rev" -0.287 3.5328
"169" "rs4964018" "12_26969769" "fwd" -0.247 2.7181
"170" "rs55663005" "14_100764318" "rev" 0.191 1.7643
"171" "rs55674255" "1_3015592" "rev" -0.284 3.4643
"172" "rs55674255" "1_3015592" "rev" -0.295 3.7135
"173" "rs55696164" "5_151890623" "fwd" -0.344 4.9191
"174" "rs55742616" "1_159780821" "rev" 0.237 2.5238
"175" "rs55790608" "1_200511317" "rev" 0.274 3.2578
"176" "rs55831847" "1_208924351" "fwd" 0.256 2.8832
"177" "rs55856912" "12_96385234" "rev" -0.254 2.8419
"178" "rs55987116" "20_44957341" "fwd" -0.257 2.8998
"179" "rs55987116" "20_44957341" "fwd" -0.28 3.369
"180" "rs55987116" "20_44957341" "rev" -0.295 3.7212
"181" "rs55987993" "11_134349684" "rev" -0.312 4.1027
"182" "rs56075281" "1_40187063" "rev" -0.24 2.5875
"183" "rs56075281" "1_40187063" "rev" -0.246 2.6954
"184" "rs56178387" "16_56672015" "rev" 0.307 3.9948
"185" "rs56180997" "8_27069510" "rev" -0.258 2.9226
"186" "rs56202910" "4_185754190" "fwd" -0.277 3.3129
"187" "rs56202910" "4_185754190" "rev" -0.26 2.9715
"188" "rs56333845" "7_101096722" "fwd" 0.257 2.9118
"189" "rs564705" "16_88946955" "rev" -0.232 2.4423
"190" "rs564705" "16_88946955" "fwd" -0.232 2.4423
"191" "rs564705" "16_88946955" "rev" -0.296 3.736
"192" "rs564705" "16_88946955" "fwd" -0.35 5.1039
"193" "rs564705" "16_88946955" "fwd" 0.429 7.5996
"194" "rs564705" "16_88946955" "rev" 0.427 7.5126
"195" "rs564705" "16_88946955" "rev" -0.422 7.3533
"196" "rs564705" "16_88946955" "rev" 0.395 6.4257
"197" "rs564705" "16_88946955" "fwd" 0.305 3.932
"198" "rs57210824" "11_117842344" "rev" -0.3 3.8346
"199" "rs57513724" "6_44287081" "fwd" 0.297 3.7481
"200" "rs586249" "20_3715694" "rev" -0.288 3.5545
"201" "rs59042985" "9_95748085" "rev" 0.245 2.6749
"202" "rs6084640" "20_4114498" "fwd" 0.257 2.9107
"203" "rs6124783" "20_44959929" "rev" -0.249 2.7488
"204" "rs6124783" "20_44959929" "rev" -0.253 2.8354
"205" "rs6124783" "20_44959929" "rev" -0.253 2.8245
"206" "rs614984" "12_52978907" "fwd" -0.23 2.397
"207" "rs61823167" "1_159799339" "rev" 0.265 3.0742
"208" "rs61823167" "1_159799339" "fwd" 0.271 3.1867
"209" "rs61823167" "1_159799339" "rev" 0.26 2.9554
"210" "rs61823167" "1_159799339" "fwd" 0.253 2.8248
"211" "rs61823167" "1_159799339" "fwd" 0.234 2.4759
"212" "rs61823167" "1_159799339" "fwd" 0.269 3.1488
"213" "rs61893919" "11_72263803" "rev" -0.286 3.5136
"214" "rs61893921" "11_72271337" "fwd" -0.281 3.4106
"215" "rs61893921" "11_72271337" "fwd" -0.268 3.1318
"216" "rs61915922" "11_48172654" "fwd" 0.212 2.0877
"217" "rs61915922" "11_48172654" "rev" -0.241 2.6035
"218" "rs61915922" "11_48172654" "rev" -0.248 2.7295
"219" "rs61915922" "11_48172654" "fwd" -0.253 2.8264
