transcript_id	n
chr12_70278275_70290726	3
chr12_70290804_70294070	3
chr12_70327701_70329422	3
chr12_70327716_70329422	3
chr7_66995498_66998064	3
chr10_124546190_124613263	3
chr10_124612951_124613263	3
chr7_50727891_50729299	3
chr7_50732369_50747578	3
chr7_50779178_50779508	3
chr7_50780737_50781020	3
chr7_50781130_50781225	3
chr1_222815172_222827278	3
chr5_343709_343892	3
chr12_47802275_47820553	3
chr7_13939247_13986115	3
chr13_21298440_21301418	3
chr7_66388846_66389184	3
chr16_89923459_89931680	4
chr12_95388789_95405354	6
chr20_63661944_63662473	6
chr2_240598088_240598650	6
chr17_46591248_46624243	6
chr7_7639145_7639904	6
chr5_96876091_96879563	6
chr7_2513329_2524694	6
chr7_2524691_2524691	6
chr17_45553798_45555711	6
chr19_49335323_49335494	8
chr5_427691_427806	9
chr8_1756083_1759296	9
chr22_50278666_50278666	9
chr12_1953289_1993263	9
chr2_237683496_237684201	9
chr18_46557490_46563064	9
chr5_343970_353729	12
chr5_423978_427636	12
chr2_86108537_86110977	12
chr7_66491472_66492273	12
chr17_327580_339507	12
chr17_327580_338865	12
chr8_2100500_2100875	12
chr12_47795611_47795905	12
chr1_222815172_222823855	12
chr4_153720387_153720491	12
chr5_322663_343892	15
chr5_428007_433852	15
chr14_37500139_37501516	15
chr14_37500139_37523472	15
chr4_151688764_151691657	15
chr17_75516911_75517014	15
chr12_62302921_62312285	15
chr5_172106815_172117480	15
chr17_75218307_75225697	15
chr17_46223805_46224560	15
chr14_77710897_77760652	15
chr5_96743747_96746341	15
chr22_23393696_23393778	15
chr6_148468586_148487613	17
chr20_63351028_63355956	18
chr17_75235481_75235577	18
chr17_327580_338535	21
chr1_234968491_234969989	21
chr13_77015581_77026826	21
chr17_349098_349219	24
chr7_6331236_6338632	24
chr8_1758307_1759296	24
chr11_7457960_7461232	24
chr12_110641626_110644970	24
chr11_7440240_7461238	24
chr20_46043693_46058655	27
chr7_50448290_50449578	27
chr5_841920_843599	27
chr17_45553268_45553658	27
chr1_39738932_39740088	27
chr12_121011147_121016258	30
chr6_71344694_71348526	30
chr8_1773902_1780249	30
chr6_29827045_29827835	30
chr14_91243982_91244354	30
chr15_82408368_82412661	30
chr14_37369625_37385493	30
chr12_95397001_95405354	33
chr2_85863486_85875414	33
chr7_38392018_38392617	36
chr4_168390531_168391539	36
chr12_47778648_47778820	36
chr5_96525428_96545215	39
chr12_69694465_69699204	39
chr1_11934324_11947975	42
chr2_85186799_85187185	42
chr22_49918431_49918758	42
chr22_50278697_50288985	42
chr21_42496230_42496822	42
chr2_89046287_89046411	42
chr14_37247241_37247798	45
chr20_63355410_63355974	45
chr1_234961567_234963038	45
chr12_47795768_47797383	48
chr3_195226857_195247771	48
chr13_21301619_21306284	48
chr7_35667589_35668542	48
chr7_35694628_35695419	48
chr12_103889631_103892950	48
chr12_103906353_103911317	48
chr12_103920567_103925492	48
chr17_333935_335774	51
chr10_125133613_125138006	51
chr3_129433248_129439729	51
chr12_103883815_103889400	51
chr17_327580_339067	54
chr7_50447298_50542517	54
chr14_92322636_92325867	54
chr7_50762015_50779134	54
chr17_247286_247631	57
chr9_129831733_129831895	57
chr1_16761103_16764413	57
chr5_139721968_139742498	57
chr1_16647953_16648067	60
chr1_16759036_16759065	63
chr1_16760491_16760750	63
chr7_2222755_2223492	63
chr1_16922799_16929845	66
chr1_161751782_161752367	66
chr1_234961567_234962958	66
chr3_141903749_141925530	66
chr16_58329950_58386620	66
chr1_161594905_161595552	69
chr1_205420575_205449867	69
chr3_195070112_195153886	69
chr1_205437332_205455916	69
chr17_281855_306415	72
chr1_3547124_3595337	72
chr21_36058925_36060106	72
chr3_195086023_195087266	78
chr2_85875546_85888823	81
chr1_3062193_3062194	81
chr13_49401588_49412911	81
chr17_75205795_75208154	81
chr22_49924456_49924985	84
chr16_87708467_87711234	84
chr16_87755293_87765791	84
chr16_87765207_87765791	84
chr16_89762794_89764806	84
chr14_92457363_92457497	84
chr20_46035043_46035373	84
chr7_50781309_50781416	88
chr13_27738768_27739916	90
chr16_86542214_86554644	90
chr7_38421017_38422420	90
chr12_95382573_95396814	96
chr5_847616_849649	96
chr2_178753181_178756221	99
chr18_62059169_62072672	99
chr5_168316805_168371423	102
chr7_67297038_67297214	102
chr11_57299962_57308890	105
chr8_123109397_123109527	105
chr14_92408435_92433911	108
chr19_54708439_54708601	108
chr18_62059021_62072672	108
chr18_62162513_62163530	108
chr20_63273519_63275576	111
chr12_95346210_95380857	111
chr16_78015130_78059413	111
chr12_47778648_47779027	114
chr1_16623998_16624272	114
chr1_16656955_16657046	114
chr1_16592314_16604240	114
chr12_95311455_95340372	114
chr12_95377370_95380853	114
chr9_34647259_34648047	117
chr6_154433508_154433778	120
chr21_42502418_42518276	123
chr12_47788165_47789812	123
chr2_3726028_3727002	126
chr2_3769142_3769310	126
chr7_195328_195553	129
chr2_85863486_85865857	130
chr1_16491095_16491205	132
chr4_168472810_168480194	135
chr1_16768269_16769990	141
chr7_38394215_38420911	147
chr2_85863486_85888607	148
chr4_168476121_168480376	150
chr5_168486544_168488152	150
chr5_168488271_168488601	150
chr20_63658460_63661297	153
chr14_55661380_55661521	156
chr12_47819143_47819766	156
chr1_16489793_16490617	156
chr12_47771613_47772169	162
chr9_129833710_129835787	162
chr12_47802275_47819119	165
chr5_795869_795869	165
chr1_16759400_16759475	165
chr18_62056845_62058815	171
chr13_102846315_102849117	174
chr2_242114742_242130654	174
chr12_47798973_47812929	174
chr18_62072726_62084530	177
chr3_113396728_113397157	177
chr13_27648454_27738706	180
chr7_24597192_24620051	180
chr2_85868059_85870071	181
chr8_123075034_123077110	183
chr7_50781130_50781230	186
chr2_85863486_85888276	194
chr21_42496230_42502295	198
chr7_50757250_50779134	198
chr7_50780737_50782423	198
chr21_42499744_42502295	201
chr3_141916021_141916554	201
chr15_82407306_82408287	204
chr4_118758628_118760390	204
chr2_85863486_85888227	207
chr1_16758089_16758465	207
chr15_90930256_90933976	210
chr4_118833738_118836550	213
chr20_63272921_63273999	216
chr22_31488746_31495952	219
chr1_19270832_19270834	222
chr12_70225033_70225210	228
chr4_168489309_168490357	231
chr20_63659505_63660675	234
chr4_168419385_168420260	237
chr2_238435262_238444341	237
chr3_45938256_45955248	243
chr17_75226158_75231572	243
chr5_168492792_168493893	243
chr3_45838052_45841694	243
chr5_343965_413343	246
chr13_27648454_27660778	252
chr6_29725564_29727956	255
chr4_168504966_168506078	258
chr5_796062_796063	261
chr12_1965694_1966079	261
chr9_92494150_92500726	261
chr5_748155_748155	264
chr13_27622223_27622874	267
chr18_62102903_62103588	267
chr18_62161386_62184520	270
chr18_56061279_56062696	270
chr1_16740398_16930285	271
chr18_62163657_62174326	276
chr12_47798973_47820553	282
chr4_38798899_38805111	288
chr3_113433670_113434479	288
chr18_62103600_62105542	291
chr18_62162330_62187022	291
chr5_102754946_102865822	294
chr3_45838052_45913119	297
chr12_47802275_47813372	300
chr18_62103800_62105542	300
chr5_837479_850440	300
chr21_42502418_42502688	312
chr15_82391954_82400659	315
chr16_89887718_89889227	321
chr16_89613405_89630304	321
chr5_795846_795850	327
chr18_62157809_62157980	330
chr18_62284362_62285448	342
chr5_795915_795915	342
chr5_796161_796163	342
chr5_796185_796185	342
chr16_90029680_90031189	348
chr18_62174431_62186843	354
chr12_70225391_70242796	357
chr20_63660797_63661297	357
chr16_57432561_57440952	357
chr16_57434213_57439185	366
chr14_55644444_55646972	366
chr16_89613720_89635907	369
chr14_55601881_55607345	372
chr22_31197159_31201497	393
chr12_47802275_47802435	396
chr6_29828317_29829417	399
chr3_45859017_45913119	405
chr1_212797197_212807735	417
chr3_141921649_141921976	420
chr5_96728419_96729152	420
chr4_118833738_118838553	423
chr4_168530703_168537640	439
chr5_796201_796201	450
chr7_2069339_2088793	453
chr4_168492886_168504832	454
chr4_38805194_38856760	457
chr13_27660916_27665685	459
chr5_473400_475136	459
chr18_62154652_62161132	459
chr18_62161227_62163530	459
chr1_16948927_16953079	460
chr5_796065_796125	477
chr3_113296903_113303915	504
chr6_29744153_29744266	504
chr16_90019769_90020829	504
chr12_69904420_70242796	507
chr18_62056845_62059047	537
chr20_63665301_63666003	549
chr5_96702916_96737848	573
chr4_168490451_168492665	609
chr15_90931053_90933976	615
chr10_129708044_129715519	627
chr4_168492886_168530560	636
chr18_62085265_62088390	645
chr7_6710239_6710749	666
chr13_27621264_27648378	669
chr7_6331236_6341872	669
chr14_55559151_55612018	681
chr20_63661944_63662395	714
chr9_92311260_92321667	738
chr9_92323504_92324608	738
chr18_61905493_62017628	744
chr14_55607461_55612018	753
chr10_129536378_129563778	753
chr7_4775757_4783315	768
chr16_86552147_86553259	784
chr6_29941320_29941965	795
chr7_66390251_66399691	798
chr16_89696865_89698194	804
chr3_113400673_113401239	826
chr5_96529881_96675538	876
chr4_168476121_168490357	894
chr16_86554752_86555041	898
chr16_90040510_90042312	903
chr14_55580355_55627911	912
chr9_34638341_34646676	936
chr15_90935101_90935543	944
chr7_66390251_66391397	957
chr15_90934144_90934434	977
chr7_6341971_6348572	1065
chr12_103966061_103972959	1107
chr12_103973034_103976917	1131
chr22_49921474_49921584	1188
chr17_45545945_45549062	1311
chr3_127677084_127677806	1384
chr18_62282443_62287350	1621
chr6_29744545_29744949	1680
chr1_212794809_212795094	1734
chr1_222872433_222928429	1798
chr1_222943333_222979622	1887
chr10_129715605_129717611	2484
chr17_46590788_46624243	2817
chr17_46602524_46624243	2817
chr17_45476074_45478100	2826
chr17_45555806_45558385	2826
chr17_45545677_45547726	2829
chr17_45635399_45636282	2829
chr17_45622042_45627375	2850
chr17_45468594_45482436	3033
chr16_89874750_89878460	4622
chr17_45996665_46018617	5442
chr17_45969300_45971858	5496
chr17_45406084_45425563	5652
chr17_45406084_45432751	5652
chr17_46550520_46553399	5655
chr17_45518149_45519227	5676
chr17_46523156_46523803	5682
chr17_46034283_46034431	5694
chr17_45404529_45404923	8472
chr17_46517014_46517093	8475
chr17_45475727_45478100	8478
chr17_45637402_45645900	8490
chr17_45829648_45830093	8493
chr17_46520284_46523083	8850
chr17_46552691_46570758	9417
chr17_45833211_45833713	11298
chr17_45830215_45830879	11304
chr17_45475727_45490651	11310
chr17_45454273_45459382	11319
chr17_46515322_46517361	11331
chr17_45816583_45829214	14130
chr17_45445664_45446128	14868
chr17_45807098_45821354	16953
chr17_45833538_45834623	16956
chr17_45829322_45829560	16962
chr17_46088681_46094507	17904
chr17_45829322_45830178	19770
chr17_45515380_45517860	19785
chr17_46548461_46570758	19797
chr17_46034280_46038537	19800
chr17_46538427_46570758	20508
chr17_45440227_45440836	20511
chr17_45821441_45825485	22605
chr17_45833850_45834623	22608
chr17_45978441_45983177	22611
chr17_45482526_45487727	23745
chr17_45825596_45829214	25431
chr17_45993978_45996398	28029
chr17_46034461_46034763	31095
chr17_45439635_45440026	31855
chr17_46528860_46538350	32745
chr17_45985745_45987039	33702
chr17_46094702_46121323	33903
chr17_45991587_45993923	36369
chr17_45630159_45635300	36666
chr17_45445664_45447911	37662
chr17_46094702_46223670	42390
chr17_46557631_46559153	44075
chr17_45633175_45636282	50823
chr17_46169606_46170854	64956
chr17_45519373_45521306	66651
chr17_46033470_46034160	67106
chr17_46034286_46034763	75783
chr17_45630159_45630484	82716
chr17_46156896_46170854	84741
chr17_46120050_46170854	91173
chr17_46152967_46170854	92940
chr17_46034286_46034368	94250
chr17_46172233_46193749	96798
chr17_46152967_46169530	137319
chr17_46148240_46152903	137322
chr17_46152967_46156773	137322
