transcript_id	seqnames	start	end	gene_name	gene_id	n
chr1_3547124_3595337	chr1	3489920	3611495	MEGF6	ENSG00000162591	24
chr1_11934324_11947975	chr1	11934205	11975538	PLOD1	ENSG00000083444	14
chr1_16592314_16604240	chr1	16562319	16613562	NBPF1	ENSG00000219481	38
chr1_16922799_16929845	chr1	16921950	16972979	CROCC	ENSG00000058453	22
chr1_16740398_16930285	chr1	16921950	16972979	CROCC	ENSG00000058453	105
chr1_16948927_16953079	chr1	16921950	16972979	CROCC	ENSG00000058453	168
chr1_39738932_39740088	chr1	39692182	39763914	PPIE	ENSG00000084072	9
chr1_161751782_161752367	chr1	161749758	161757238	DUSP12	ENSG00000081721	22
chr1_205420575_205449867	chr1	205381378	205457091	LEMD1	ENSG00000186007	23
chr1_205437332_205455916	chr1	205381378	205457091	LEMD1	ENSG00000186007	23
chr1_212797197_212807735	chr1	212791828	212816626	TATDN3	ENSG00000203705	139
chr1_212794809_212795094	chr1	212791828	212816626	TATDN3	ENSG00000203705	578
chr1_222872433_222928429	chr1	222872271	223005995	DISP1	ENSG00000154309	600
chr1_222943333_222979622	chr1	222872271	223005995	DISP1	ENSG00000154309	661
chr2_3726028_3727002	chr2	3703592	3847411	DCDC2C	ENSG00000214866	42
chr2_3769142_3769310	chr2	3703592	3847411	DCDC2C	ENSG00000214866	42
chr2_85186799_85187185	chr2	85133410	85310388	TCF7L1	ENSG00000152284	14
chr2_85863486_85875414	chr2	85837120	85905199	ST3GAL5	ENSG00000115525	11
chr2_85875546_85888823	chr2	85837120	85905199	ST3GAL5	ENSG00000115525	27
chr2_85863486_85865857	chr2	85837120	85905199	ST3GAL5	ENSG00000115525	46
chr2_85863486_85888276	chr2	85837120	85905199	ST3GAL5	ENSG00000115525	68
chr2_85863486_85888227	chr2	85837120	85905199	ST3GAL5	ENSG00000115525	69
chr2_85863486_85888607	chr2	85837120	85905199	ST3GAL5	ENSG00000115525	74
chr2_85868059_85870071	chr2	85837120	85905199	ST3GAL5	ENSG00000115525	85
chr2_86108537_86110977	chr2	86106182	86142157	PTCD3	ENSG00000132300	4
chr2_178753181_178756221	chr2	178525989	178830802	TTN	ENSG00000155657	33
chr2_237683496_237684201	chr2	237627576	237780315	LRRFIP1	ENSG00000124831	3
chr2_238435262_238444341	chr2	238426742	238452250	ASB1	ENSG00000065802	79
chr2_240598088_240598650	chr2	240586716	240617705	CAPN10	ENSG00000142330	2
chr3_45838052_45841694	chr3	45823316	45916042	LZTFL1	ENSG00000163818	81
chr3_45838052_45913119	chr3	45823316	45916042	LZTFL1	ENSG00000163818	99
chr3_45859017_45913119	chr3	45823316	45916042	LZTFL1	ENSG00000163818	135
chr3_45838052_45913119	chr3	45886504	45903177	CCR9	ENSG00000173585	99
chr3_45859017_45913119	chr3	45886504	45903177	CCR9	ENSG00000173585	135
chr3_45938256_45955248	chr3	45917899	45995824	FYCO1	ENSG00000163820	81
chr3_45938256_45955248	chr3	45940933	45948353	CXCR6	ENSG00000172215	81
chr3_113396728_113397157	chr3	113287460	113441610	CFAP44	ENSG00000206530	59
chr3_113433670_113434479	chr3	113287460	113441610	CFAP44	ENSG00000206530	96
chr3_113296903_113303915	chr3	113287460	113441610	CFAP44	ENSG00000206530	168
chr3_113400673_113401239	chr3	113287460	113441610	CFAP44	ENSG00000206530	314
chr3_127677084_127677806	chr3	127672935	127680920	ABTB1	ENSG00000114626	484
chr3_129433248_129439729	chr3	129430944	129440035	MBD4	ENSG00000129071	17
chr3_141903749_141925530	chr3	141876124	141926514	ATP1B3	ENSG00000069849	22
chr3_141916021_141916554	chr3	141876124	141926514	ATP1B3	ENSG00000069849	67
chr3_141921649_141921976	chr3	141876124	141926514	ATP1B3	ENSG00000069849	140
chr3_195226857_195247771	chr3	195068279	195271167	XXYLT1	ENSG00000173950	16
chr3_195070112_195153886	chr3	195068279	195271167	XXYLT1	ENSG00000173950	23
chr3_195086023_195087266	chr3	195068279	195271167	XXYLT1	ENSG00000173950	26
chr4_38798899_38805111	chr4	38790677	38805578	TLR1	ENSG00000174125	96
chr4_38805194_38856760	chr4	38790677	38805578	TLR1	ENSG00000174125	175
chr4_38805194_38856760	chr4	38823715	38843791	TLR6	ENSG00000174130	175
chr4_118758628_118760390	chr4	118722823	118838683	SEC24D	ENSG00000150961	68
chr4_118833738_118836550	chr4	118722823	118838683	SEC24D	ENSG00000150961	71
chr4_118833738_118838553	chr4	118722823	118838683	SEC24D	ENSG00000150961	141
chr4_151688764_151691657	chr4	151670504	151761023	GATB	ENSG00000059691	5
chr4_153720387_153720491	chr4	153710125	153760235	RNF175	ENSG00000145428	4
chr4_168390531_168391539	chr4	168356735	168537786	DDX60L	ENSG00000181381	12
chr4_168472810_168480194	chr4	168356735	168537786	DDX60L	ENSG00000181381	45
chr4_168476121_168480376	chr4	168356735	168537786	DDX60L	ENSG00000181381	50
chr4_168489309_168490357	chr4	168356735	168537786	DDX60L	ENSG00000181381	77
chr4_168419385_168420260	chr4	168356735	168537786	DDX60L	ENSG00000181381	79
chr4_168504966_168506078	chr4	168356735	168537786	DDX60L	ENSG00000181381	86
chr4_168530703_168537640	chr4	168356735	168537786	DDX60L	ENSG00000181381	163
chr4_168492886_168504832	chr4	168356735	168537786	DDX60L	ENSG00000181381	170
chr4_168490451_168492665	chr4	168356735	168537786	DDX60L	ENSG00000181381	203
