"rsID" "PosID" "Direction" "Spearman_rho" "-log10(p)"
"1" "rs10118217" "9_83707208" "fwd" -0.363 4.9271
"2" "rs10152202" "15_58744348" "rev" 0.265 2.7693
"3" "rs10152202" "15_58744348" "fwd" 0.262 2.7151
"4" "rs10271244" "7_44143341" "rev" 0.387 5.5486
"5" "rs10271244" "7_44143341" "rev" 0.357 4.7652
"6" "rs10490311" "2_75517549" "rev" 0.269 2.8541
"7" "rs10490311" "2_75517549" "rev" 0.258 2.6563
"8" "rs10490311" "2_75517549" "fwd" 0.248 2.4805
"9" "rs10507905" "13_80937950" "rev" -0.243 2.383
"10" "rs10515242" "5_95982675" "fwd" 0.148 1.0793
"11" "rs10515242" "5_95982675" "rev" 0.148 1.0793
"12" "rs10838310" "11_44607849" "rev" 0.2 1.7219
"13" "rs10842868" "12_27330399" "rev" 0.274 2.9443
"14" "rs10842868" "12_27330399" "rev" -0.279 3.0331
"15" "rs10842868" "12_27330399" "fwd" -0.237 2.2972
"16" "rs10872411" "6_133930382" "fwd" 0.292 3.2935
"17" "rs11033442" "11_36146708" "fwd" 0.291 3.2628
"18" "rs11079065" "17_37064161" "rev" 0.295 3.3475
"19" "rs11079065" "17_37064161" "fwd" 0.295 3.3424
"20" "rs11101652" "10_134864185" "fwd" 0.148 1.0786
"21" "rs11101652" "10_134864185" "rev" 0.148 1.0786
"22" "rs1110204" "1_225101347" "rev" 0.253 2.5654
"23" "rs11225266" "11_102346586" "fwd" 0.251 2.5232
"24" "rs11234455" "11_85589254" "rev" 0.295 3.354
"25" "rs11250389" "10_1339022" "fwd" 0.299 3.437
"26" "rs112512914" "2_70778610" "fwd" 0.351 4.6122
"27" "rs112512914" "2_70778610" "fwd" -0.341 4.3672
"28" "rs113234999" "14_32392925" "fwd" 0.203 1.7701
"29" "rs1135169" "9_94484928" "fwd" 0.284 3.1247
"30" "rs114849920" "3_141651034" "rev" 0.147 1.0691
"31" "rs1149386" "1_160441241" "rev" -0.255 2.5896
"32" "rs115573881" "1_115806005" "fwd" -0.241 2.3547
"33" "rs11591079" "1_159796302" "rev" -0.237 2.2935
"34" "rs11605024" "11_110939850" "fwd" -0.27 2.8711
"35" "rs11613480" "12_89633732" "rev" -0.298 3.4065
"36" "rs11613480" "12_89633732" "fwd" -0.282 3.0923
"37" "rs11613480" "12_89633732" "fwd" -0.3 3.4558
"38" "rs11625495" "14_32385584" "fwd" -0.277 2.9924
"39" "rs11639912" "16_51351573" "rev" 0.207 1.8284
"40" "rs11662063" "18_74787476" "fwd" 0.295 3.3426
"41" "rs117207312" "14_21127599" "rev" 0.281 3.0725
"42" "rs117341358" "19_50454383" "fwd" 0.28 3.0463
"43" "rs117341358" "19_50454383" "rev" 0.305 3.5604
"44" "rs11757612" "6_33574488" "rev" 0.361 4.8597
"45" "rs11764101" "7_1598314" "rev" 0.393 5.7313
"46" "rs11764101" "7_1598314" "fwd" 0.37 5.0958
"47" "rs11764101" "7_1598314" "fwd" -0.371 5.1227
"48" "rs118146241" "14_75955135" "rev" -0.29 3.2541
"49" "rs12022037" "1_225871527" "rev" 0.373 5.1867
"50" "rs12023665" "1_225878554" "rev" 0.322 3.9297
"51" "rs12023665" "1_225878554" "fwd" 0.363 4.9059
"52" "rs12023665" "1_225878554" "rev" 0.35 4.5927
"53" "rs12023665" "1_225878554" "rev" 0.359 4.8151
"54" "rs12135265" "1_193703626" "rev" -0.248 2.4813
"55" "rs12141105" "1_34249160" "rev" -0.258 2.6463
"56" "rs12141105" "1_34249160" "fwd" -0.269 2.8415
"57" "rs12141105" "1_34249160" "rev" 0.268 2.8204
"58" "rs12155013" "7_44705684" "rev" 0.307 3.6051
"59" "rs12189090" "5_34827731" "rev" 0.354 4.6924
"60" "rs12355168" "10_73002678" "rev" -0.253 2.5638
"61" "rs12355168" "10_73002678" "rev" -0.277 2.9967
"62" "rs12355168" "10_73002678" "rev" 0.312 3.7001
"63" "rs12355168" "10_73002678" "rev" -0.254 2.5689
"64" "rs12370055" "12_27429530" "rev" 0.26 2.6796
"65" "rs12370055" "12_27429530" "fwd" 0.259 2.6651
"66" "rs12424544" "12_53042437" "rev" -0.288 3.2113
"67" "rs12424544" "12_53042437" "fwd" -0.321 3.9007
"68" "rs12424544" "12_53042437" "rev" -0.336 4.2628
"69" "rs12424544" "12_53042437" "rev" -0.307 3.5971
"70" "rs12424544" "12_53042437" "rev" -0.321 3.9076
"71" "rs12424544" "12_53042437" "rev" -0.266 2.7954
"72" "rs12425605" "12_54146763" "fwd" -0.304 3.5445
"73" "rs12425605" "12_54146763" "rev" 0.304 3.5305
"74" "rs12425605" "12_54146763" "rev" -0.285 3.1582
"75" "rs12425605" "12_54146763" "rev" -0.304 3.5439
"76" "rs12462208" "19_5543902" "rev" -0.322 3.9263
"77" "rs12465119" "2_67921015" "rev" 0.325 3.9977
"78" "rs12554199" "9_92247909" "rev" 0.276 2.9765
"79" "rs12564627" "1_41319146" "fwd" -0.307 3.5924
"80" "rs12564627" "1_41319146" "rev" -0.262 2.7134
"81" "rs12564627" "1_41319146" "fwd" -0.3 3.4458
"82" "rs12564627" "1_41319146" "rev" -0.254 2.584
"83" "rs12564627" "1_41319146" "rev" -0.286 3.1802
"84" "rs12564627" "1_41319146" "rev" 0.283 3.118
"85" "rs1265883" "1_160464911" "fwd" -0.148 1.0797
"86" "rs1265883" "1_160464911" "fwd" 0.29 3.2461
"87" "rs1265883" "1_160464911" "rev" 0.273 2.9138
"88" "rs12755321" "1_21635872" "fwd" -0.307 3.6086
"89" "rs12773126" "10_34527997" "fwd" -0.34 4.3519
"90" "rs12776175" "10_11401130" "rev" -0.307 3.6019
"91" "rs12781830" "10_121822955" "rev" -0.294 3.3296
"92" "rs12792637" "11_11582784" "rev" 0.248 2.4822
"93" "rs12792637" "11_11582784" "rev" 0.239 2.3147
"94" "rs12804624" "11_3923570" "rev" 0.295 3.3439
"95" "rs12817638" "12_30015100" "rev" 0.292 3.2925
"96" "rs12817638" "12_30015100" "fwd" 0.324 3.9742
"97" "rs12890967" "14_74296119" "rev" 0.287 3.2015
"98" "rs12944561" "17_6669270" "rev" 0.261 2.6947
"99" "rs1296372" "12_113427626" "fwd" -0.242 2.3797
"100" "rs13088737" "3_24757114" "rev" -0.303 3.5143
"101" "rs13088737" "3_24757114" "fwd" -0.298 3.4115
"102" "rs13088737" "3_24757114" "fwd" -0.297 3.3922
"103" "rs13088737" "3_24757114" "fwd" 0.295 3.3516
"104" "rs13088737" "3_24757114" "rev" -0.268 2.8268
"105" "rs13088737" "3_24757114" "rev" -0.268 2.8358
"106" "rs13088737" "3_24757114" "rev" 0.297 3.3992
"107" "rs13088737" "3_24757114" "rev" -0.287 3.1836
"108" "rs13088737" "3_24757114" "rev" -0.25 2.5101
"109" "rs13088737" "3_24757114" "fwd" -0.266 2.7947
"110" "rs13088737" "3_24757114" "rev" -0.259 2.6594
"111" "rs13132956" "4_38711684" "fwd" 0.314 3.7492
"112" "rs13222490" "7_46507253" "fwd" 0.276 2.9748
"113" "rs13247991" "7_2560208" "rev" 0.317 3.8197
"114" "rs13247991" "7_2560208" "fwd" 0.307 3.6043
"115" "rs1324951" "9_115694715" "rev" 0.294 3.3349
"116" "rs13268096" "8_18976678" "rev" -0.291 3.2734
"117" "rs13268096" "8_18976678" "rev" 0.314 3.7527
"118" "rs1327787" "9_112523055" "rev" -0.319 3.8633
"119" "rs134001" "22_28031186" "rev" -0.304 3.5408
"120" "rs134001" "22_28031186" "rev" -0.296 3.3759
"121" "rs1361667" "9_104778764" "fwd" 0.286 3.1813
"122" "rs1555842" "10_90403071" "fwd" -0.275 2.9571
"123" "rs16873187" "5_35247317" "rev" -0.271 2.8799
"124" "rs16873187" "5_35247317" "fwd" 0.295 3.3572
"125" "rs16873187" "5_35247317" "fwd" -0.315 3.7859
"126" "rs16873187" "5_35247317" "fwd" -0.272 2.9044
"127" "rs16992934" "20_742716" "fwd" 0.283 3.1077
"128" "rs16992934" "20_742716" "rev" -0.312 3.717
"129" "rs17029801" "3_29296054" "fwd" -0.287 3.1941
